tool_id,qw,qx,qy,qz,x,y,z
0B,0.185517242,-0.762870901,0.274825542,-0.555051586,80.520000000,-2.390000000,-173.370000000
0B,0.209328322,-0.750301515,0.270836644,-0.565576522,80.440000000,-2.890000000,-174.420000000
0B,0.224715908,-0.733251909,0.270319137,-0.582041204,80.310000000,-3.040000000,-175.510000000
0B,0.231111068,-0.713534172,0.273013075,-0.602428851,80.110000000,-2.900000000,-176.600000000
0B,0.228224070,-0.693073095,0.277229238,-0.625065923,79.960000000,-2.400000000,-177.560000000
0B,0.214319445,-0.673561112,0.281025497,-0.649158898,79.810000000,-1.730000000,-178.340000000
0B,0.191318066,-0.656161961,0.285626972,-0.671763434,79.610000000,-1.040000000,-178.970000000
0B,0.166617894,-0.640368773,0.293431513,-0.689974100,79.610000000,-0.110000000,-179.410000000
0B,0.141617226,-0.627176288,0.305137116,-0.702485449,79.620000000,0.820000000,-179.550000000
0B,0.116905229,-0.615327521,0.319814304,-0.710931797,79.750000000,1.980000000,-179.690000000
0B,0.090709936,-0.606366416,0.333436522,-0.716178444,79.850000000,2.980000000,-179.660000000
0B,0.067906021,-0.599953200,0.348230879,-0.717063585,80.000000000,4.000000000,-179.520000000
0B,0.044204218,-0.597156977,0.360334381,-0.715268247,80.170000000,4.810000000,-179.190000000
0B,0.025003416,-0.598481755,0.372750919,-0.708696811,80.330000000,5.550000000,-178.790000000
0B,0.011900801,-0.606140819,0.384125868,-0.696346894,80.450000000,5.940000000,-177.920000000
0B,0.000400018,-0.619127951,0.391517675,-0.680730732,80.480000000,6.290000000,-177.070000000
0B,0.005800381,0.635741725,-0.397026058,0.661943445,80.510000000,6.390000000,-176.070000000
0B,0.012500713,0.654637319,-0.397722673,0.642736640,80.570000000,6.280000000,-174.880000000
0B,0.025503068,0.675281234,-0.388746765,0.626275339,80.600000000,6.170000000,-173.980000000
0B,0.036103291,0.695963433,-0.374934173,0.611355721,80.650000000,5.860000000,-172.960000000
0B,0.042804357,0.729174230,-0.348035430,0.587659824,80.680000000,5.100000000,-171.730000000
0B,0.029101994,0.758151939,-0.310921300,0.572439216,80.620000000,3.750000000,-170.810000000
0B,0.021101000,0.770836519,-0.284813493,0.569426977,80.580000000,2.960000000,-170.790000000
0B,0.000800098,-0.779095722,0.272733509,-0.564469352,80.540000000,2.090000000,-170.640000000
0B,0.011301296,-0.782189722,0.267530688,-0.562564530,80.530000000,1.640000000,-170.690000000
0B,0.041201384,-0.787526457,0.252608487,-0.560618834,80.530000000,0.550000000,-170.860000000
0B,0.049902582,-0.788040766,0.247812820,-0.561329038,80.550000000,0.250000000,-171.000000000
0B,0.078205732,-0.785957605,0.239917584,-0.564441369,80.500000000,-0.590000000,-171.500000000
0B,0.092805230,-0.784644220,0.242313656,-0.563031731,80.530000000,-0.820000000,-171.680000000
0B,0.129509966,-0.776559759,0.248619132,-0.564243420,80.490000000,-1.610000000,-172.440000000
0B,0.138811571,-0.772464391,0.249520800,-0.567247285,80.460000000,-1.810000000,-172.720000000
0B,0.153016369,-0.761981514,0.251626918,-0.576761699,80.330000000,-2.090000000,-173.490000000
0B,0.164614140,-0.747464206,0.256522035,-0.590250702,80.160000000,-2.040000000,-174.380000000
0B,0.173324063,-0.730101363,0.263536588,-0.606184159,80.000000000,-1.920000000,-175.340000000
0B,0.178018609,-0.710774301,0.270928322,-0.624265258,79.850000000,-1.660000000,-176.350000000
